INTRACOMD0X91221       0113342913951     0327281910          0327281919          Mme LEVAN           idep                               
    2E000154000001      342913951     593FR 1100000000160AA  21138089490 0000000030           0000000005 BEBE0773376842    122025       
    2E000154000002      342913951             00000000160AA  251         0000000000                        BE0773376842    122025       
    2E000154000003      342913951             00000000106AA  251         0000000000                        LU24406123      122025       
    2E000154000004      342913951             00000000106AA  251         0000000000                        LU24406123      122025       
    2E000154000005      342913951     593FR 1100000000094AA  21133074900 0000000007           0000000001 ITIT01701750240   122025       
    2E000154000006      342913951     593FR 1100000000094AA  21133074900 0000000007           0000000001 ITIT01701750240   122025       
    2E000154000007      342913951     593FR 1100000000094AA  21133074900 0000000007           0000000001 ITIT01701750240   122025       
    2E000154000008      342913951     593FR 1100000000137AA  21133074900 0000000020           0000000003 ITIT01701750240   122025       
    2E000154000009      342913951     593FR 1100000000104AA  21133074900 0000000007           0000000005 ITIT01701750240   122025       
    2E000154000010      342913951     593FR 1100000000195AA  21134025010 0000000079           0000000004 ITIT01701750240   122025       
    2E000154000011      342913951     593FR 1100000000049AA  21134025010 0000000020           0000000001 ITIT01701750240   122025       
    2E000154000012      342913951     593FR 1100000000069AA  21133074900 0000000018           0000000048 DEDE272669325     122025       
    2E000154000013      342913951     593FR 1100000000104AA  21133074900 0000000027           0000000072 DEDE272669325     122025       
    2E000154000014      342913951     593FR 1100000000069AA  21133074900 0000000018           0000000048 DEDE272669325     122025       
    2E000154000015      342913951     593FR 1100000000317AA  21139259010 0000000006           0000000004 DEDE129500830     122025       
    2E000154000016      342913951     593FR 1100000000214AA  21133074900 0000000059           0000000156 DEDE233490788     122025       
    2E000154000017      342913951     593FR 1100000000214AA  21133074900 0000000059           0000000156 DEDE233490788     122025       
    2E000154000018      342913951     593FR 1100000000214AA  21133074900 0000000059           0000000156 DEDE233490788     122025       
    2E000154000019      342913951     593FR 1100000000142AA  21133074900 0000000005           0000000003 CZCZ7804023084    122025       
    2E000154000020      342913951     593FR 1100000000047AA  21133074900 0000000002           0000000001 CZCZ7804023084    122025       
    2E000154000021      342913951     593FR 1100000000095AA  21133074900 0000000004           0000000002 CZCZ7804023084    122025       
    2E000154000022      342913951     593FR 1100000000380AA  21133074900 0000000014           0000000008 CZCZ7804023084    122025       
